Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Kenai Peninsula,870.5,Male,American Indian and Alaskan Native
AK,Ketchikan Gateway,,Male,American Indian and Alaskan Native
AK,Kodiak Island,944.8,Male,American Indian and Alaskan Native
AK,Lake and Peninsula,699.9,Male,American Indian and Alaskan Native
AK,Matanuska-Susitna,457.7,Male,American Indian and Alaskan Native
AK,Nome,560.1,Male,American Indian and Alaskan Native
AK,North Slope,554.3,Male,American Indian and Alaskan Native
AK,Northwest Arctic,556.2,Male,American Indian and Alaskan Native
AK,Prince of Wales-Outer Ketchikan,,Male,American Indian and Alaskan Native
AK,Sitka,,Male,American Indian and Alaskan Native
AK,Skagway-Hoonah-Angoon,,Male,American Indian and Alaskan Native
AK,Southeast Fairbanks,473.4,Male,American Indian and Alaskan Native
AK,Valdez-Cordova,707.3,Male,American Indian and Alaskan Native
AK,Wade Hampton,553.4,Male,American Indian and Alaskan Native
AK,Wrangell-Petersburg,,Male,American Indian and Alaskan Native
AK,Yakutat,,Male,American Indian and Alaskan Native
AK,Yukon-Koyukuk,548.2,Male,American Indian and Alaskan Native
AK,Aleutians East,,Female,American Indian and Alaskan Native
AK,Aleutians West,,Female,American Indian and Alaskan Native
AK,Anchorage,292.4,Female,American Indian and Alaskan Native
AK,Bethel,288.6,Female,American Indian and Alaskan Native
AK,Bristol Bay,,Female,American Indian and Alaskan Native
AK,Denali,,Female,American Indian and Alaskan Native
AK,Dillingham,298.2,Female,American Indian and Alaskan Native
AK,Fairbanks North Star,252.6,Female,American Indian and Alaskan Native
AK,Haines,,Female,American Indian and Alaskan Native
AK,Juneau,,Female,American Indian and Alaskan Native
AK,Kenai Peninsula,286.5,Female,American Indian and Alaskan Native
AK,Ketchikan Gateway,,Female,American Indian and Alaskan Native
AK,Kodiak Island,,Female,American Indian and Alaskan Native
AK,Lake and Peninsula,309.6,Female,American Indian and Alaskan Native
AK,Matanuska-Susitna,274.3,Female,American Indian and Alaskan Native
AK,Nome,333.7,Female,American Indian and Alaskan Native
AK,North Slope,248.7,Female,American Indian and Alaskan Native
AK,Northwest Arctic,291.5,Female,American Indian and Alaskan Native
AK,Prince of Wales-Outer Ketchikan,,Female,American Indian and Alaskan Native
AK,Sitka,,Female,American Indian and Alaskan Native
AK,Skagway-Hoonah-Angoon,,Female,American Indian and Alaskan Native
AK,Southeast Fairbanks,225.4,Female,American Indian and Alaskan Native
AK,Valdez-Cordova,285.9,Female,American Indian and Alaskan Native
